Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Segment;Postal_Code;Product_ID;Sales;Quantity;Discount;Profit
1;CA-2022-152156;2022-11-08;2022-11-11;Second Class;CG-12520;Consumer;42420;FUR-BO-10001798;26196;2;0;419136
2;CA-2022-152156;2022-11-08;2022-11-11;Second Class;CG-12520;Consumer;42420;FUR-CH-10000454;73194;3;0;219582
3;CA-2022-138688;2022-06-12;2022-06-16;Second Class;DV-13045;Corporate;90036;OFF-LA-10000240;1462;2;0;68714
4;US-2021-108966;2021-10-11;2021-10-18;Standard Class;SO-20335;Consumer;33311;FUR-TA-10000577;9575775;5;45;-383031
5;US-2021-108966;2021-10-11;2021-10-18;Standard Class;SO-20335;Consumer;33311;OFF-ST-10000760;22368;2;2;25164
6;CA-2020-115812;2020-06-09;2020-06-14;Standard Class;BH-11710;Consumer;90032;FUR-FU-10001487;4886;7;0;141694
7;CA-2020-115812;2020-06-09;2020-06-14;Standard Class;BH-11710;Consumer;90032;OFF-AR-10002833;728;4;0;19656
8;CA-2020-115812;2020-06-09;2020-06-14;Standard Class;BH-11710;Consumer;90032;TEC-PH-10002275;907152;6;2;907152
9;CA-2020-115812;2020-06-09;2020-06-14;Standard Class;BH-11710;Consumer;90032;OFF-BI-10003910;18504;3;2;57825
10;CA-2020-115812;2020-06-09;2020-06-14;Standard Class;BH-11710;Consumer;90032;OFF-AP-10002892;1149;5;0;3447
11;CA-2020-115812;2020-06-09;2020-06-14;Standard Class;BH-11710;Consumer;90032;FUR-TA-10001539;1706184;9;2;853092
12;CA-2020-115812;2020-06-09;2020-06-14;Standard Class;BH-11710;Consumer;90032;TEC-PH-10002033;911424;4;2;683568
13;CA-2023-114412;2023-04-15;2023-04-20;Standard Class;AA-10480;Consumer;28027;OFF-PA-10002365;15552;3;2;54432
14;CA-2022-161389;2022-12-05;2022-12-10;Standard Class;IM-15070;Consumer;98103;OFF-BI-10003656;407976;3;2;1325922
15;US-2021-118983;2021-11-22;2021-11-26;Standard Class;HP-14815;Home Office;76106;OFF-AP-10002311;6881;5;8;-123858
16;US-2021-118983;2021-11-22;2021-11-26;Standard Class;HP-14815;Home Office;76106;OFF-BI-10000756;2544;3;8;-3816
17;CA-2020-105893;2020-11-11;2020-11-18;Standard Class;PK-19075;Consumer;53711;OFF-ST-10004186;66588;6;0;133176
